minimum_score,minimum_adx,minimum_rvol,stop_atr,target_r,allow_long,allow_short,starting_capital,ending_capital,net_profit,total_return_pct,trades,win_rate_pct,profit_factor,average_r,max_drawdown_pct,rank_score
80,22,1.5,1.25,1.5,True,False,10000.0,11110.02,1110.02,11.1,24,58.33,2.01,0.45,-3.93,109.28599999999999
85,22,1.2,1.25,1.5,True,False,10000.0,11110.02,1110.02,11.1,24,58.33,2.01,0.45,-3.93,109.28599999999999
85,22,1.5,1.25,1.5,True,False,10000.0,11110.02,1110.02,11.1,24,58.33,2.01,0.45,-3.93,109.28599999999999
80,18,1.2,1.25,1.5,True,False,10000.0,11219.39,1219.39,12.19,28,57.14,1.93,0.42,-2.53,109.228
80,22,1.2,1.0,2.0,True,False,10000.0,11322.44,1322.44,13.22,26,50.0,1.92,0.49,-4.89,108.55
80,22,1.5,1.0,2.0,True,False,10000.0,11322.44,1322.44,13.22,26,50.0,1.92,0.49,-4.89,108.55
85,22,1.2,1.0,2.0,True,False,10000.0,11322.44,1322.44,13.22,26,50.0,1.92,0.49,-4.89,108.55
85,22,1.5,1.0,2.0,True,False,10000.0,11322.44,1322.44,13.22,26,50.0,1.92,0.49,-4.89,108.55
80,25,1.0,1.0,2.0,True,False,10000.0,11211.63,1211.63,12.12,24,50.0,1.94,0.49,-3.92,108.01999999999998
85,25,1.0,1.0,2.0,True,False,10000.0,11211.63,1211.63,12.12,24,50.0,1.94,0.49,-3.92,108.01999999999998
85,18,1.0,1.25,1.5,True,False,10000.0,11220.57,1220.57,12.21,28,57.14,1.93,0.42,-3.94,107.858
80,30,1.2,1.25,1.5,True,False,10000.0,10800.91,800.91,8.01,17,58.82,2.08,0.46,-1.99,107.794
85,30,1.2,1.25,1.5,True,False,10000.0,10800.91,800.91,8.01,17,58.82,2.08,0.46,-1.99,107.794
80,18,1.0,1.25,1.5,True,False,10000.0,11277.64,1277.64,12.78,30,56.67,1.89,0.41,-3.47,107.774
80,22,1.2,1.25,2.0,True,False,10000.0,11216.39,1216.39,12.16,24,50.0,1.92,0.49,-3.94,107.38000000000001
80,22,1.5,1.25,2.0,True,False,10000.0,11216.39,1216.39,12.16,24,50.0,1.92,0.49,-3.94,107.38000000000001
85,22,1.2,1.25,2.0,True,False,10000.0,11216.39,1216.39,12.16,24,50.0,1.92,0.49,-3.94,107.38000000000001
85,22,1.5,1.25,2.0,True,False,10000.0,11216.39,1216.39,12.16,24,50.0,1.92,0.49,-3.94,107.38000000000001
75,25,1.0,1.0,2.5,True,False,10000.0,11682.37,1682.37,16.82,36,41.67,1.72,0.45,-5.41,105.76400000000001
75,25,1.2,1.0,2.5,True,False,10000.0,11682.37,1682.37,16.82,36,41.67,1.72,0.45,-5.41,105.76400000000001
75,25,1.5,1.0,2.5,True,False,10000.0,11682.37,1682.37,16.82,36,41.67,1.72,0.45,-5.41,105.76400000000001
